"Third Audience Bot Analytics Export"
Generated,"2026-01-22 09:57:53 UTC"
"Total Records",124
Format,Detailed

ID,"Bot Type","Bot Name","User Agent",URL,"Post Title","Post Type","Request Method","Cache Status","Cache Explanation","Response Time (ms)","Response Size","IP Address",Referer,"Country Code","Visit Time (UTC)"
124,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/difference-between-ruby-and-ruby-on-rails,"Top 7 Difference Between Ruby and Ruby on Rails Technologies",post,md_url,MISS,"Generated fresh (first visit or cache expired)",35,"20.12 KB",2a03:2880:f802:19::,Direct,US,"2026-01-22 09:28:41"
123,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/top-angularjs-frameworks,"List of 10 Best AngularJS Frameworks to Use For Web Development",post,md_url,MISS,"Generated fresh (first visit or cache expired)",34,"15.37 KB",2a03:2880:f802:1e::,Direct,US,"2026-01-22 09:23:43"
122,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/ruby-on-rails-development-companies,"Top 10 Ruby on Rails Development Companies in [year]",post,md_url,MISS,"Generated fresh (first visit or cache expired)",47,"30.33 KB",2a03:2880:f802:16::,Direct,US,"2026-01-22 09:23:21"
121,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/knowledge-management-system,"A Comprehensive Guide on Knowledge Management System (KMS)",post,md_url,MISS,"Generated fresh (first visit or cache expired)",43,"22.92 KB",2a03:2880:f802:1a::,Direct,US,"2026-01-22 09:18:07"
120,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/front-end-vs-back-end-web-development,"Front-end vs Back-end Web Development: 7 Core Differences to Know",post,md_url,MISS,"Generated fresh (first visit or cache expired)",26,"17.52 KB",2a03:2880:f802:10::,Direct,US,"2026-01-22 09:13:47"
119,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/outsource-laravel-development,"How to Outsource Laravel Development [Benefits, Process, Cost]",post,md_url,MISS,"Generated fresh (first visit or cache expired)",35,"25.61 KB",2a03:2880:f802:2f::,Direct,US,"2026-01-22 09:09:00"
118,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/vue-vs-react,"Vue vs React: Comparison of Best JavaScript Frameworks",post,md_url,MISS,"Generated fresh (first visit or cache expired)",44,"22.74 KB",2a03:2880:f802:f::,Direct,US,"2026-01-22 09:08:49"
117,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/hiring-web-developer,"How to Hire Web Developers [6 Tips]",post,md_url,MISS,"Generated fresh (first visit or cache expired)",38,"22.06 KB",2a03:2880:f802:39::,Direct,US,"2026-01-22 09:05:35"
116,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/most-popular-web-frameworks,"List of 10 Best Web Frameworks for Web App Development in [year]",post,md_url,HIT,"Served from transient cache (fast)",7,"26.55 KB",2a03:2880:f802:31::,Direct,US,"2026-01-22 09:04:39"
115,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/front-end-development-trends,"Front-End Development Trends to Watch in [year]",post,md_url,MISS,"Generated fresh (first visit or cache expired)",24,"12.96 KB",2a03:2880:f802:11::,Direct,US,"2026-01-22 08:46:04"
